Tilda UID;Brand;SKU;Mark;Category;Title;Price;Quantity;External ID;Parent UID;Weight;Length;Width;Height;Unit;Portion;Url
9,9081E+11;;PP-60х27х275х0,8;;"Подвес прямой;Все категории";ПП 60х27х275х0,8;���.93;355;e8a18843-78b0-11ee-8885-e43d1a180a17;;40;0;0;0;PCE;1;http://droxmar.ru/podves/tproduct/990809989522-pp-60h27h275h08
4,72734E+11;;OBr-O-100х160х2,0;;"Опора бруса;Все категории";"Опора бруса ""Открытая"" 100х160х2,0";128.08;64;ae127d42-852f-11ee-95a7-e43d1a17f1f9;;472;0;0;0;PCE;1;http://droxmar.ru/opora/tproduct/472733826832-opora-brusa-otkritaya-100h160h20
4,54418E+11;;S-OS-PS-OS-4,2x13;;"Саморез;Все категории";Саморез с прессшайбой 4,2х13 мм;0.32;2835;01b3d088-8de7-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/454418045292-samorez-s-pressshaiboi-42h13-mm
5,59574E+11;;LV-0,5x12-25;;"Лента монтажная;Все категории";"Лента-пластина крепежная ""Волна"" 0,5х12 25м";300.82;33;d268d02c-7a37-11ee-8885-e43d1a180a17;;756;0;0;0;PCE;1;http://droxmar.ru/lenta/tproduct/559574400382-lenta-plastina-krepezhnaya-volna-05h12-2
1,55365E+11;;PP-60х27х300х1,0;;"Подвес прямой;Все категории";ПП 60х27х300х1,0;14.65;2000;58e50d72-78af-11ee-8885-e43d1a180a17;;54;0;0;0;PCE;1;http://droxmar.ru/podves/tproduct/155364871842-pp-60h27h300h10
5,11987E+11;;KUU-90х90х40х1,5;;"Уголок крепёжный;Все категории";Уголок крепежный усиленный 90х90х40х1,5 мм;18.82;303;5e3e6aee-8846-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/511987460792-ugolok-krepezhnii-usilennii-90h90h40h15
8,96975E+11;;S-B-4,2x65;;"Саморез;Все категории";Саморез по дереву 4,2х65;���.22;530;89805842-8dec-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/896975297092-samorez-po-derevu-42h65
7,54819E+11;;S-B-4,2x90;;"Саморез;Все категории";Саморез по дереву 4,2х90;���.20;10495;983cc8b7-8deb-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/754819329492-samorez-po-derevu-42h90
8,6376E+11;;KU-50х50х35х1,5;;"Уголок крепёжный;Все категории";Уголок крепежный 50х50х35х1,5 мм;���.22;101;d26da613-87a2-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/863760001342-ugolok-krepezhnii-50h50h35h15-mm
4,15065E+11;;OKB-U-120х325х120х4;;"Основание колонны бруса;Все категории";Основание колонны бруса тип U 120х325х120х4;459.49;45;3cd6a4b4-8872-11ee-95a7-e43d1a17f1f9;;1150;0;0;0;PCE;1;http://droxmar.ru/okb/tproduct/415064584512-osnovanie-kolonni-brusa-tip-u-120h325h12
2,38716E+11;;S-E-3,5x32;;"Саморез;Все категории";Саморез по дереву 3,5х32;0.45;19470;724ff109-8de9-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/238716063052-samorez-po-derevu-35h32
4,82904E+11;;PP-60х27х300х0,7;;"Подвес прямой;Все категории";ПП 60х27х300х0,7;11.���;1095;a0d4801d-78af-11ee-8885-e43d1a180a17;;38;0;0;0;PCE;1;http://droxmar.ru/podves/tproduct/482904293962-pp-60h27h300h07
3,0031E+11;;KUU-100х100х90х2,0;;"Уголок крепёжный;Все категории";Уголок крепежный усиленный 100х100х90х2,0 мм;61.47;322;2b3c6929-8847-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/300310483632-ugolok-krepezhnii-usilennii-100h100h90h2
3,97573E+11;;PS-50х100х2,0;;"Пластина;Все категории";Пластина соединительная 50х100х2,0 мм;17.40;58;0bdf0276-8863-11ee-95a7-e43d1a17f1f9;;72;0;0;0;PCE;1;http://droxmar.ru/plastina/tproduct/397573119542-plastina-soedinitelnaya-50h100h20-mm
1,34055E+11;;OBr-Z-100х160х2,0;;"Опора бруса;Все категории";"Опора бруса ""Закрытая"" 100х160х2,0";128.08;20;ab7b7eae-8532-11ee-95a7-e43d1a17f1f9;;460;0;0;0;PCE;1;http://droxmar.ru/opora/tproduct/134055062162-opora-brusa-zakritaya-100h160h20
1,89209E+11;;KP-123х46х1,7;;"Пластина;Все категории";Пластина крепёжная 123х46х1,7 мм;17.40;330;efde15d6-8866-11ee-95a7-e43d1a17f1f9;;60;0;0;0;PCE;1;http://droxmar.ru/plastina/tproduct/189208843592-plastina-krepyozhnaya-123h46h17-mm
1,873E+11;;KU-90х90х65х1,7;;"Уголок крепёжный;Все категории";Уголок крепежный 90х90х65х1,7 мм VC;30.35;158;2ae5558d-87a6-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/187300265532-ugolok-krepezhnii-90h90h65h17-mm-vc
2,79017E+11;;KUU-90х90х65х1,5;;"Уголок крепёжный;Все категории";Уголок крепежный усиленный 90х90х65х1,5 мм;30.35;290;c76e78a0-8846-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/279017409932-ugolok-krepezhnii-usilennii-90h90h65h15
3,69824E+11;;KUU-90х90х65х2,5;;"Уголок крепёжный;Все категории";Уголок крепежный усиленный 90х90х65х2,5 мм;50.90;150;e6f7ec2a-8781-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/369824461612-ugolok-krepezhnii-usilennii-90h90h65h25
5,48195E+11;;LP-0,5x12-25;;"Лента монтажная;Все категории";Лента-пластина крепежная прямая 0,5х12 25м;294.87;140;02d63a3e-7a3d-11ee-8885-e43d1a180a17;;866;0;0;0;PCE;1;http://droxmar.ru/lenta/tproduct/548195145042-lenta-plastina-krepezhnaya-pryamaya-05h1
4,93324E+11;;KUU-70х70х55х1,5;;"Уголок крепёжный;Все категории";Уголок крепежный усиленный 70х70х55х1,5 мм;23.24;145;f2bf0f48-8845-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/493323576842-ugolok-krepezhnii-usilennii-70h70h55h15
1,30388E+11;;S-B-3,5x25;;"Саморез;Все категории";Саморез по дереву 3,5х25;0.33;28550;1111b269-8de9-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/130388221932-samorez-po-derevu-35h25
8,25123E+11;;S-B-3,9x64;;"Саморез;Все категории";Саморез по дереву 3,9х64;0.57;1980;a26c8b8a-8dea-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/825122601962-samorez-po-derevu-39h64
